I,Y,C,Q,P,R,Y_1,C_1,Q_1
2370,5328,7500,11390.5,210,1300,310,450,725.6
27125,49730,40600,76961.7,220,18500,5328,7500,11390.5
108810,172380,124000,251944.4,238,129000,49730,40600,76961.7
266974,437007,310000,662374.4,195,384000,172380,124000,251944.4
375998,558500,260000,780819.2,208,1108000,437007,310000,662374.4
408797,711600,390000,881001.1,229,1469000,558500,260000,780819.2
407086,686000,490000,1032768.6,204,1626000,711600,390000,881001.1
970439,1213600,990000,2050276.8,180,1707000,686000,490000,1032768.6
1165181,2097700,1650000,3033247.2,181,3150000,1213600,990000,2050276.8
